temperature,Areas,timestamp,latitude,longitude,alertstatus,Datetime,Alert
29.08, Dubai,1532251211,25.204849,55.270783,FALSE,7/22/2018 9:20:11 AM,FALSE
23.52, Dubai,1532251248,25.204849,55.270783,FALSE,7/22/2018 9:20:48 AM,FALSE
33.64, Dubai,1532251284,25.204849,55.270783,TRUE,7/22/2018 9:21:24 AM,TRUE
25.47, Dubai,1532251305,25.204849,55.270783,TRUE,7/22/2018 9:21:45 AM,TRUE
25.31,Aleyas,1532251365,25.204849,55.270783,FALSE,7/22/2018 9:22:45 AM,FALSE
34.64, Dubai,1532251375,25.204849,55.270783,TRUE,7/22/2018 9:22:55 AM,TRUE
21.45,Aleyas,1532251437,25.204849,55.270783,FALSE,7/22/2018 9:23:57 AM,FALSE
27.82, Dubai,1532251482,25.204849,55.270783,FALSE,7/22/2018 9:24:42 AM,FALSE
23.33,Aleyas,1532251543,25.204849,55.270783,FALSE,7/22/2018 9:25:43 AM,FALSE
25.24,Dubai,1532251546,25.204849,55.270783,FALSE,7/22/2018 9:25:46 AM,FALSE
24.05,Aleyas,1532251613,25.204849,55.270783,TRUE,7/22/2018 9:26:53 AM,TRUE
34.58, Dubai,1532251786,25.204849,55.270783,TRUE,7/22/2018 9:29:46 AM,TRUE
30.1,Aleyas,1532251812,25.204849,55.270783,FALSE,7/22/2018 9:30:12 AM,FALSE
25.49, Dubai,1532251818,25.204849,55.270783,TRUE,7/22/2018 9:30:18 AM,TRUE
29.8,Aleyas,1532251821,25.204849,55.270783,FALSE,7/22/2018 9:30:21 AM,FALSE
25.98,Al Merkad,1532251842,25.204849,55.270783,FALSE,7/22/2018 9:30:42 AM,FALSE
25.18, Dubai,1532251866,25.204849,55.270783,TRUE,7/22/2018 9:31:06 AM,TRUE
34.28, Dubai,1532251871,25.204849,55.270783,FALSE,7/22/2018 9:31:11 AM,FALSE
31.32, Dubai,1532251934,25.204849,55.270783,FALSE,7/22/2018 9:32:14 AM,FALSE
25.3,Al Merkad,1532251965,25.204849,55.270783,FALSE,7/22/2018 9:32:45 AM,FALSE
23.69, Dubai,1532251985,25.204849,55.270783,TRUE,7/22/2018 9:33:05 AM,TRUE
27.28,Aleyas,1532252094,25.204849,55.270783,FALSE,7/22/2018 9:34:54 AM,FALSE
25.21, Dubai,1532252100,25.204849,55.270783,TRUE,7/22/2018 9:35:00 AM,TRUE
29.59, Dubai,1532252295,25.204849,55.270783,TRUE,7/22/2018 9:38:15 AM,TRUE
29.63, Dubai,1532252313,25.204849,55.270783,FALSE,7/22/2018 9:38:33 AM,FALSE
34.97,Dubai,1532252349,25.204849,55.270783,FALSE,7/22/2018 9:39:09 AM,FALSE
22.49,Al Merkad,1532252377,25.204849,55.270783,FALSE,7/22/2018 9:39:37 AM,FALSE
34.68,Al Merkad,1532252421,25.204849,55.270783,FALSE,7/22/2018 9:40:21 AM,FALSE
29.49,Al Merkad,1532252435,25.204849,55.270783,FALSE,7/22/2018 9:40:35 AM,FALSE
23.99,Aleyas,1532252436,25.204849,55.270783,FALSE,7/22/2018 9:40:36 AM,FALSE
20.5,Al Merkad,1532252440,25.204849,55.270783,FALSE,7/22/2018 9:40:40 AM,FALSE
25.45,Al Merkad,1532252481,25.204849,55.270783,FALSE,7/22/2018 9:41:21 AM,FALSE
29.21, Dubai,1532252500,25.204849,55.270783,FALSE,7/22/2018 9:41:40 AM,FALSE
24.66,Al Merkad,1532252507,25.204849,55.270783,TRUE,7/22/2018 9:41:47 AM,TRUE
27.19,Aleyas,1532252515,25.204849,55.270783,TRUE,7/22/2018 9:41:55 AM,TRUE
31.39, Dubai,1532252524,25.204849,55.270783,FALSE,7/22/2018 9:42:04 AM,FALSE
34.6, Dubai,1532252551,25.204849,55.270783,FALSE,7/22/2018 9:42:31 AM,FALSE
25.2, Dubai,1532252606,25.204849,55.270783,FALSE,7/22/2018 9:43:26 AM,FALSE
33.66, Dubai,1532252631,25.204849,55.270783,FALSE,7/22/2018 9:43:51 AM,FALSE
34.59,Al Merkad,1532252641,25.204849,55.270783,TRUE,7/22/2018 9:44:01 AM,TRUE
28.07, Dubai,1532252665,25.204849,55.270783,TRUE,7/22/2018 9:44:25 AM,TRUE
27.73,Dubai,1532252682,25.204849,55.270783,FALSE,7/22/2018 9:44:42 AM,FALSE
33.4,Dubai,1532252742,25.204849,55.270783,FALSE,7/22/2018 9:45:42 AM,FALSE
28.81, Dubai,1532252764,25.204849,55.270783,TRUE,7/22/2018 9:46:04 AM,TRUE
33.33,Dubai,1532252852,25.204849,55.270783,FALSE,7/22/2018 9:47:32 AM,FALSE
28.72,Al Merkad,1532252879,25.204849,55.270783,FALSE,7/22/2018 9:47:59 AM,FALSE
22.9,Al Merkad,1532252897,25.204849,55.270783,TRUE,7/22/2018 9:48:17 AM,TRUE
30.38,Aleyas,1532252898,25.204849,55.270783,FALSE,7/22/2018 9:48:18 AM,FALSE
24.86,Dubai,1532252941,25.204849,55.270783,TRUE,7/22/2018 9:49:01 AM,TRUE
25.89,Aleyas,1532252953,25.204849,55.270783,FALSE,7/22/2018 9:49:13 AM,FALSE
22.51,Al Merkad,1532253006,25.204849,55.270783,FALSE,7/22/2018 9:50:06 AM,FALSE
34.47, Dubai,1532253017,25.204849,55.270783,TRUE,7/22/2018 9:50:17 AM,TRUE
25.78,Aleyas,1532253047,25.204849,55.270783,FALSE,7/22/2018 9:50:47 AM,FALSE
21.22,Al Merkad,1532253072,25.204849,55.270783,FALSE,7/22/2018 9:51:12 AM,FALSE
28.24, Dubai,1532253109,25.204849,55.270783,FALSE,7/22/2018 9:51:49 AM,FALSE
25.38, Dubai,1532253123,25.204849,55.270783,FALSE,7/22/2018 9:52:03 AM,FALSE
28.3, Dubai,1532253146,25.204849,55.270783,TRUE,7/22/2018 9:52:26 AM,TRUE
29.01, Dubai,1532253193,25.204849,55.270783,FALSE,7/22/2018 9:53:13 AM,FALSE
33.36,Al Merkad,1532253244,25.204849,55.270783,TRUE,7/22/2018 9:54:04 AM,TRUE
30.64,Al Merkad,1532253265,25.204849,55.270783,FALSE,7/22/2018 9:54:25 AM,FALSE
30.47,Al Merkad,1532253280,25.204849,55.270783,TRUE,7/22/2018 9:54:40 AM,TRUE
20.53, Dubai,1532253300,25.204849,55.270783,TRUE,7/22/2018 9:55:00 AM,TRUE
31.69,Al Merkad,1532253305,25.204849,55.270783,TRUE,7/22/2018 9:55:05 AM,TRUE
21.29,Dubai,1532253324,25.204849,55.270783,FALSE,7/22/2018 9:55:24 AM,FALSE
25.48, Dubai,1532253342,25.204849,55.270783,FALSE,7/22/2018 9:55:42 AM,FALSE
28.62,Aleyas,1532263733,25.204849,55.270783,TRUE,7/22/2018 12:48:53 PM,TRUE
27.56, Dubai,1532263736,25.204849,55.270783,FALSE,7/22/2018 12:48:56 PM,FALSE
25.96,Al Awir Second,1532251178,25.152644,55.532752,TRUE,7/22/2018 9:19:38 AM,TRUE
21.36,Al Wasl,1532251185,25.199425,55.256308,TRUE,7/22/2018 9:19:45 AM,TRUE
30.99,Al Nahda Second,1532251186,25.298165,55.374792,TRUE,7/22/2018 9:19:46 AM,TRUE
29.91,Umm Suqeim First,1532251189,25.166888,55.214226,TRUE,7/22/2018 9:19:49 AM,TRUE
25.78,Al Muraqqabat,1532251199,25.26536,55.324026,TRUE,7/22/2018 9:19:59 AM,TRUE
30,Al Manara,1532251202,25.141079,55.212112,TRUE,7/22/2018 9:20:02 AM,TRUE
34.1,Al Rigga,1532251203,25.267579,55.312967,TRUE,7/22/2018 9:20:03 AM,TRUE
26.7,Al Warqa'a Fifth,1532251212,25.187459,55.405636,TRUE,7/22/2018 9:20:12 AM,TRUE
20.38,Al Ras,1532251218,25.268781,55.295689,TRUE,7/22/2018 9:20:18 AM,TRUE
22.68,Al Murar,1532251233,25.276355,55.309511,TRUE,7/22/2018 9:20:33 AM,TRUE
24.01,Rigga Al Buteen,1532251239,25.258061,55.323335,TRUE,7/22/2018 9:20:39 AM,TRUE
26.35,Emirates Hill Third,1532251241,25.068717,55.173459,TRUE,7/22/2018 9:20:41 AM,TRUE
31.19,Al Waheda,1532251242,25.289748,55.337853,TRUE,7/22/2018 9:20:42 AM,TRUE
22.35,Al Safouh Second,1532251245,25.113393,55.17622,TRUE,7/22/2018 9:20:45 AM,TRUE
20.54,Ras Al Khor,1532251259,25.194545,55.36413,TRUE,7/22/2018 9:20:59 AM,TRUE
21.4,Muhaisnah First,1532251268,25.236389,55.406244,TRUE,7/22/2018 9:21:08 AM,TRUE
28.89,Al Qusais Third,1532251271,25.261987,55.398717,TRUE,7/22/2018 9:21:11 AM,TRUE
21.96,Al Qusais Second,1532251277,25.261987,55.398717,TRUE,7/22/2018 9:21:17 AM,TRUE
29.57,Muhaisanah Third,1532251283,25.271226,55.404252,TRUE,7/22/2018 9:21:23 AM,TRUE
32.15,Trade Centre 1,1532251285,25.219092,55.279105,TRUE,7/22/2018 9:21:25 AM,TRUE
34.77,Naif,1532251286,25.272752,55.312967,TRUE,7/22/2018 9:21:26 AM,TRUE
33.71,Nad Al Hammar,1532251294,25.200432,55.386264,TRUE,7/22/2018 9:21:34 AM,TRUE
26.05,Al Murar,1532251299,25.276355,55.309511,TRUE,7/22/2018 9:21:39 AM,TRUE
26.8,Al Qusais First,1532251301,25.27442,55.368662,TRUE,7/22/2018 9:21:41 AM,TRUE
28.43,Nadd Al Shiba Fourth,1532251308,25.15082,55.381762,TRUE,7/22/2018 9:21:48 AM,TRUE
20.5,Al Dhagaya,1532251311,25.272483,55.299977,TRUE,7/22/2018 9:21:51 AM,TRUE
30.71,Jumeira First,1532251312,25.238695,55.271344,TRUE,7/22/2018 9:21:52 AM,TRUE
28.6,Al Muteena Second,1532251314,25.269172,55.317069,TRUE,7/22/2018 9:21:54 AM,TRUE
30.87,Al Dhagaya,1532251315,25.272483,55.299977,TRUE,7/22/2018 9:21:55 AM,TRUE
26.21,Hor Al Anz,1532251318,25.276998,55.333705,TRUE,7/22/2018 9:21:58 AM,TRUE
31.69,Al Ras,1532251320,25.268781,55.295689,TRUE,7/22/2018 9:22:00 AM,TRUE
27.01,Palm Jumeira,1532251323,25.112432,55.138978,TRUE,7/22/2018 9:22:03 AM,TRUE
27.49,Al Nahda First,1532251330,25.296657,55.377751,TRUE,7/22/2018 9:22:10 AM,TRUE
31.42,Al Nasr,1532251332,25.239126,55.312967,TRUE,7/22/2018 9:22:12 AM,TRUE
31.98,Al Qusais Second,1532251333,25.261987,55.398717,TRUE,7/22/2018 9:22:13 AM,TRUE
29.94,Al Qusais Industrial Fifth,1532251337,25.287117,55.415323,TRUE,7/22/2018 9:22:17 AM,TRUE
23.96,Umm Suqeim Third,1532251341,25.136651,55.195544,TRUE,7/22/2018 9:22:21 AM,TRUE
20.7,Hatta,1532251348,24.806169,56.125385,TRUE,7/22/2018 9:22:28 AM,TRUE
22.79,Muhaisanah Second,1532251357,25.271226,55.404252,TRUE,7/22/2018 9:22:37 AM,TRUE
34.56,Za'abeel First,1532251358,25.223054,55.306055,TRUE,7/22/2018 9:22:38 AM,TRUE
30.54,Al Barsha South Third,1532251359,25.059802,55.241839,TRUE,7/22/2018 9:22:39 AM,TRUE
34.44,Trade Centre 1,1532251360,25.219092,55.279105,TRUE,7/22/2018 9:22:40 AM,TRUE
33.58,Al Hamriya Port,1532251361,25.26019,55.304673,TRUE,7/22/2018 9:22:41 AM,TRUE
26.01,Al Karama,1532251368,25.24892,55.306055,TRUE,7/22/2018 9:22:48 AM,TRUE
30.75,Warsan First,1532251369,25.159659,55.396774,TRUE,7/22/2018 9:22:49 AM,TRUE
22.54,Al Muteena Second,1532251372,25.269172,55.317069,TRUE,7/22/2018 9:22:52 AM,TRUE
31.75,Ayal Nasir,1532251373,25.274462,55.305062,TRUE,7/22/2018 9:22:53 AM,TRUE
28.03,Al Warqa'a Second,1532251377,25.187459,55.405636,TRUE,7/22/2018 9:22:57 AM,TRUE
26.95,Ayal Nasir,1532251379,25.274462,55.305062,TRUE,7/22/2018 9:22:59 AM,TRUE
20.42,Al Barsha First,1532251386,25.10982,55.219426,TRUE,7/22/2018 9:23:06 AM,TRUE
23.12,Al Quoz Industrial First,1532251389,25.134554,55.253169,TRUE,7/22/2018 9:23:09 AM,TRUE
34.04,Muhaisanah Fourth,1532251390,25.273208,55.397085,TRUE,7/22/2018 9:23:10 AM,TRUE
25.69,Al Dhagaya,1532251392,25.272483,55.299977,TRUE,7/22/2018 9:23:12 AM,TRUE
24.45,Hatta,1532251395,24.806169,56.125385,TRUE,7/22/2018 9:23:15 AM,TRUE
25.18,Al Kifaf,1532251408,25.234697,55.29638,TRUE,7/22/2018 9:23:28 AM,TRUE
32.9,Hor Al Anz East,1532251409,25.283091,55.351682,TRUE,7/22/2018 9:23:29 AM,TRUE
21.36,Umm Suqeim First,1532251412,25.166888,55.214226,TRUE,7/22/2018 9:23:32 AM,TRUE
34.59,Za'abeel First,1532251416,25.223054,55.306055,TRUE,7/22/2018 9:23:36 AM,TRUE
27.38,Al Shindagha,1532251418,25.272666,55.295034,TRUE,7/22/2018 9:23:38 AM,TRUE
24.31,Al Mankhool,1532251422,25.245967,55.294998,TRUE,7/22/2018 9:23:42 AM,TRUE
21.23,Al Qusais Third,1532251428,25.261987,55.398717,TRUE,7/22/2018 9:23:48 AM,TRUE
22.83,Muhaisnah First,1532251430,25.236389,55.406244,TRUE,7/22/2018 9:23:50 AM,TRUE
22.17,Al Khwaneej First,1532251433,25.232772,55.508101,TRUE,7/22/2018 9:23:53 AM,TRUE
32.44,Emirates Hill Second,1532251434,25.073861,55.166782,TRUE,7/22/2018 9:23:54 AM,TRUE
28.68,Al Satwa,1532251438,25.21937,55.272887,TRUE,7/22/2018 9:23:58 AM,TRUE
29.41,Warsan First,1532251441,25.159659,55.396774,TRUE,7/22/2018 9:24:01 AM,TRUE
20.79,Al Mushrif,1532251446,25.207722,55.452699,TRUE,7/22/2018 9:24:06 AM,TRUE
29.78,Trade Centre 1,1532251449,25.219092,55.279105,TRUE,7/22/2018 9:24:09 AM,TRUE
27.55,Al Muteena Second,1532251451,25.269172,55.317069,TRUE,7/22/2018 9:24:11 AM,TRUE
34.76,Trade Centre 2,1532251453,25.221399,55.285323,TRUE,7/22/2018 9:24:13 AM,TRUE
22.85,Wadi Alamardi,1532251456,25.199524,55.480396,TRUE,7/22/2018 9:24:16 AM,TRUE
24.35,Muhaisanah Second,1532251464,25.271226,55.404252,TRUE,7/22/2018 9:24:24 AM,TRUE
24.77,Al Qusais First,1532251466,25.27442,55.368662,TRUE,7/22/2018 9:24:26 AM,TRUE
27.74,Hatta,1532251472,24.806169,56.125385,TRUE,7/22/2018 9:24:32 AM,TRUE
24.76,Al Guoz Fourth,1532251480,25.127789,55.211776,TRUE,7/22/2018 9:24:40 AM,TRUE
29.6,Hatta,1532251487,24.806169,56.125385,TRUE,7/22/2018 9:24:47 AM,TRUE
26.77,Al Buteen,1532251489,25.258061,55.323335,TRUE,7/22/2018 9:24:49 AM,TRUE
28.42,Al Qusais Industrial Fourth,1532251491,25.293784,55.401484,TRUE,7/22/2018 9:24:51 AM,TRUE
29.23,Al Hamriya,1532251494,25.26019,55.304673,TRUE,7/22/2018 9:24:54 AM,TRUE
21.48,Wadi Alamardi,1532251496,25.199524,55.480396,TRUE,7/22/2018 9:24:56 AM,TRUE
23.11,Umm Suqeim First,1532251504,25.166888,55.214226,TRUE,7/22/2018 9:25:04 AM,TRUE
32.53,Warsan Second,1532251505,25.157937,55.418783,TRUE,7/22/2018 9:25:05 AM,TRUE
21.9,Al Quoz First,1532251507,25.150561,55.248748,TRUE,7/22/2018 9:25:07 AM,TRUE
26.38,Al Barsha Third,1532251511,25.083827,55.220397,TRUE,7/22/2018 9:25:11 AM,TRUE
23.16,Jumeira Third,1532251516,25.236823,55.270015,TRUE,7/22/2018 9:25:16 AM,TRUE
20.15,Al Raffa,1532251519,25.255758,55.288087,TRUE,7/22/2018 9:25:19 AM,TRUE
29.76,Nad Al Hammar,1532251531,25.200432,55.386264,TRUE,7/22/2018 9:25:31 AM,TRUE
30.09,Al Barsha First,1532251535,25.10982,55.219426,TRUE,7/22/2018 9:25:35 AM,TRUE
23.42,Abu Hail,1532251538,25.285869,55.328174,TRUE,7/22/2018 9:25:38 AM,TRUE
23.92,Umm Hurair First,1532251558,25.244672,55.312184,TRUE,7/22/2018 9:25:58 AM,TRUE
29.42,Al Jafiliya,1532251568,25.23784,55.283942,TRUE,7/22/2018 9:26:08 AM,TRUE
21.7,Umm Suqeim Third,1532251570,25.136651,55.195544,TRUE,7/22/2018 9:26:10 AM,TRUE
28.21,Jumeira Second,1532251572,25.191975,55.230474,TRUE,7/22/2018 9:26:12 AM,TRUE
26.14,Al Safouh First,1532251580,25.100526,55.169534,TRUE,7/22/2018 9:26:20 AM,TRUE
20.85,Al Quoz Second,1532251583,25.153156,55.246064,TRUE,7/22/2018 9:26:23 AM,TRUE
27.51,Muhaisanah Second,1532251585,25.271226,55.404252,TRUE,7/22/2018 9:26:25 AM,TRUE
28.28,Al Twar First,1532251589,25.262004,55.379346,TRUE,7/22/2018 9:26:29 AM,TRUE
31.09,Al Barsha South Third,1532251590,25.059802,55.241839,TRUE,7/22/2018 9:26:30 AM,TRUE
22.57,Al Mankhool,1532251592,25.245967,55.294998,TRUE,7/22/2018 9:26:32 AM,TRUE
28.59,Ras Al Khor,1532251600,25.194545,55.36413,TRUE,7/22/2018 9:26:40 AM,TRUE
24.53,Umm Suqeim Third,1532251604,25.136651,55.195544,TRUE,7/22/2018 9:26:44 AM,TRUE
25.16,Dubai Investment Park Second,1532251606,24.981958,55.196943,TRUE,7/22/2018 9:26:46 AM,TRUE
24.7,Al Warqa'a Third,1532251609,25.196067,55.398499,TRUE,7/22/2018 9:26:49 AM,TRUE
32.29,Nadd Al Shiba Second,1532251610,25.151619,55.343007,TRUE,7/22/2018 9:26:50 AM,TRUE
31.26,Umm Ramool,1532251611,25.228925,55.366896,TRUE,7/22/2018 9:26:51 AM,TRUE
29.68,Al Nahda First,1532251617,25.287241,55.369728,TRUE,7/22/2018 9:26:57 AM,TRUE
20.83,Emirates Hill First,1532251619,25.078254,55.179137,TRUE,7/22/2018 9:26:59 AM,TRUE
